og	oo	cg	co
University_of_Technology,_Jamaica_C	Northeastern_University_at_Qinhuangdao_2	Hang_Seng_University_of_Hong_Kong_A	Nanjing_university_GC
The_University_of_Tokyo_SS	De_La_Salle_University_A	University_of_Malaya_1	University_of_Colombo_School_of_Computing_A
University_of_Belgrade_D	University_of_the_Philippines_Diliman_C	BRAC_University_B	Nanyang_Technological_University_B
Queen&#x27;s_Debating_Union_(QDU)_A	Harvard_College_HT	University_of_Warsaw_A	Universitas_Indonesia_A
University_of_Mataram_A	IBA_DU_B	Hankuk_University_of_Foreign_Studies_A	University_of_Macau_A
Shanghai_University_of_Finance_and_Economics_(SUFE)_1	NNU(Nanjing_Normal_University)_A	BRAC_University_C	Fulbright_University_Vietnam_A
Ateneo_de_Manila_University_A	Oxford_A	Western_University_A	Hobart_&amp;_William_Smith_Colleges_KK
IIT_Bombay_MH	University_of_the_Philippines_Los_Ba\u00f1os_D	\u0130bn_Haldun_University_Peace_and_Ezeri	Macau_University_of_Science_and_Technology_MUSTB
UT_MARA_D	University_of_Vermont_BW	University_of_Aberdeen_DW	Monash_University_E
Tel_Aviv_university_C	International_Islamic_University_Malaysia_2	Sciences_PO_Campus_de_Reims_A	Cambridge_Union_Society_C
Obuasi_Campus_-_Kwame_Nkrumah_University_of_Science_and_Technology_B	University_of_the_Philippines_Los_Ba\u00f1os_B	University_of_Wollongong_A	Higher_School_of_Economics_A
National_University_of_Singapore_C	National_University_of_Singapore_B	San_Beda_University_-_Manila_A	University_of_Queensland_(UQ)_A
Shanghai_International_Studies_University_1	Universidad_San_Francisco_de_Quito_DS	University_College_London_B	Durham_University_C
Glasgow_University_Union_C	Ateneo_de_Manila_University_C	TCD_Hist_C	Ateneo_de_Manila_University_B
University_of_the_Philippines_Los_Ba\u00f1os_C	University_of_St_Andrews_B	Yonsei_University_2	The_University_of_Tokyo_KM
Universidad_del_Rosario_B	Edinburgh_University_Debates_Union_B	International_Islamic_University_Malaysia_4	University_of_Belgrade_C
Singapore_Management_University_SM	Symbiosis_Law_School,_Pune_B	Bangladesh_University_of_Engineering_and_Technology_B	Hobart_&amp;_William_Smith_Colleges_LP
University_of_West_Georgia_A	Bangladesh_University_of_Engineering_and_Technology_C	Dhaka_University_A	Habib_University_A
The_Open_University_of_Israel_A	University_of_Chicago_DW	Symbiosis_Law_School,_Pune_X	University_of_Zagreb_D
National_University_of_Juridical_Sciences,_Kolkata_A	University_of_Ilorin_B	Yonsei_University_4	University_of_Chicago_GJ
University_of_Ilorin_A	\u0130bn_Haldun_University_E	Vanderbilt_University_MW	Waseda_University_A
Osaka_A	University_of_Alberta_Debate_Society_B	Pontificia_Universidad_Cat\u00f3lica_del_Per\u00fa_A	Yale_University_A
Christ_University_A	Williams_College_A	Victoria_University_of_Wellington_1	Monash_University_B
University_of_Chicago_BP	London_School_of_Economics_and_Political_Science_B	Cornell_University_C	Atma_Jaya_Catholic_University_A
Imperial_College_London_B	De_La_Salle_University_B	Seoul_National_University_2	Queen&#x27;s_Debating_Union_(QDU)_B
University_of_St_Andrews_A	University_of_Western_Australia_A	Tel_Aviv_university_b	Sunway_University_SW
University_of_Vermont_KS	Imperial_College_London_C	Harvard_College_SY	Oxford_C
Universidad_Tecnol\u00f3gica_de_Panam\u00e1_(UTP)_UTP	Macau_University_of_Science_and_Technology_A	Bangladesh_University_of_Engineering_and_Technology_E	Shahjalal_University_of_Science_and_Technology_A
Diplomatic_Academy_of_Vietnam_A	Delhi_College_of_Arts_and_Commerce_A	The_University_of_Tokyo_MI	University_of_S\u00e3o_Paulo_A
Fudan_University_1	IGNOU_Saidha_&amp;_Mishra	Western_University_B	Deen_Dayal_Upadhyaya_College_1
Vienna_B	University_of_Santo_Tomas_2	Australian_National_University_C	Ateneo_de_Manila_University_D
University_of_Sydney_D	University_of_Chicago_KL	King\u2019s_College_London_A	Cornell_University_B
University_of_Sydney_C	Imperial_College_London_A	Princeton_University_A	University_of_Zagreb_C
Swing_2	Premier_University,_Chittagong,_Bangladesh_Legacy	Southeast_University_A	Manado_State_University_A
Pontificia_Universidad_Cat\u00f3lica_de_Valpara\u00edso_A	Edinburgh_University_Debates_Union_C	KNUST_Z	University_of_Zagreb_B
Ateneo_de_Manila_University_e	Yonsei_University_3	Korea_University_Debate_Club_B	Daulat_Ram_College_A
Mahidol_University_International_College_A	University_of_Zagreb_F	Nanyang_Technological_University_C.	Chittagong_University_A
E\u00f6tv\u00f6s_Lor\u00e1nd_University_A	Harvard_College_QR	University_of_Belgrade_A	Dr._Ram_Manohar_Lohiya_National_Law_University_A
Diplomatic_Academy_of_Vietnam_B	Yonsei_University_1	Beihang_University_1	Bangladesh_University_of_Engineering_and_Technology_D
\u0130bn_Haldun_University_A	Beijing_Foreign_Studies_University_UFO	Weizmann_Institute_of_Science_A	Universitas_Surabaya_A
Jahangirnagar_University_A	Nazarbayev_University_(NU)_B	UT_MARA_C	the_Chinese_University_of_Hong_Kong,_Shenzhen_XY
University_of_Energy_and_Natural_Resources_C	Universitas_Gadjah_Mada_A	Haifa_University_B	University_of_Vermont_GH
Chittagong_University_B	University_of_Asia_and_the_Pacific_A	Royal_Institute_of_Colombo_2	Tsinghua_University_A
Haifa_University_A	Hart_House_A	Johns_Hopkins_University_GY	Australian_National_University_A
University_Philosophical_Society_C	Nazarbayev_University_(NU)_A	Delhi_Technological_University_AK	University_of_Ghana_A
Institut_Teknologi_Bandung_B	Debate_Society_by_the_University_of_London_students_1	Reichman_University_B	Peking_University_C
Northeastern_University_at_Qinhuangdao_1	National_University_of_Juridical_Sciences,_Kolkata_B	Indian_institute_of_Technology,_Kanpur_IITK	TCD_Hist_D
Maharashtra_National_Law_University,_Mumbai_A	National_Law_University_Odisha_(NLUO)_A	Cambridge_Union_Society_D	Aalto_University_TL
University_of_Rajshahi_A	King\u2019s_College_London_C	University_of_Ghana_C	Monash_University_C
University_of_Arts_in_Belgrade_A	Royal_Institute_of_Colombo_1	Cambridge_Union_Society_A	Hart_House_C
Government_Law_College,_Mumbai_MM	University_of_Belgrade_B	International_Islamic_University_Malaysia_3	Manchester_Debating_Union_(University_of_Manchester)_A
Zhejiang_International_Studies_University_A	UT_MARA_B	University_of_Cape_Coast_A	Universidad_del_Rosario_A
University_of_the_Philippines_Diliman_A	UNWE_A	University_of_New_South_Wales_A	University_Philosophical_Society_A
Habib_University_B	North_South_University_A	Korea_University_Debate_Club_A	University_of_Auckland_A
Durham_University_B	Bangladesh_University_of_Engineering_and_Technology_A	Hebrew_University_of_Jerusalem_C	TCD_Hist_A
Korea_University_Debate_Club_C	Chulalongkorn_University_A	University_of_Belgrade_E	Thammasat_University_A
BRAC_University_A	London_School_of_Economics_and_Political_Science_A	Visoka_Skola_Pep_A	Vienna_A
Beijing_Foreign_Studies_University_EC	Weizmann_Institute_of_Science_S&amp;S	Shanghai_University_of_Finance_and_Economics_(SUFE)_2	ICU_Debating_Society_A
Ateneo_de_Naga_University_A	San_Beda_University_-_Manila_B	Peking_University_A	Macau_University_of_Science_and_Technology_C
IBA_DU_C	Binus_University_A	International_Debate_Society_A	Chittagong_Medical_College_\u00c4
Drexel_University_A	Universidad_Nacional_de_Cuyo_Argentina	Khulna_University_of_Engineering_&amp;_Technology_1	University_Philosophical_Society_B
Institut_Teknologi_Bandung_A	Pentecost_University_A	University_of_Sydney_A	Australian_National_University_B
Hart_House_B	Harvard_College_AW	Sunway_University_JR	Glasgow_University_Union_D
University_of_Queensland_(UQ)_B	Georgetown_University_Qatar_A	Universitas_Gadjah_Mada_B	Shanghai_International_Studies_University_2
Sociedade_de_Debates_da_Universidade_Federal_do_Cear\u00e1_A	De_La_Salle_University_C	the_Chinese_University_of_Hong_Kong,_Shenzhen_A	North_South_University_B
Edinburgh_University_Debates_Union_A	National_University_of_Singapore_A	London_School_of_Economics_and_Political_Science_C	Sofia_University_A
Tel_Aviv_university_A	University_of_Bucharest_A	The_George_Washington_University_A	University_College_London_PP
Monash_University_A	University_of_Alberta_Debate_Society_A	University_of_Sydney_E	McGill_Debating_Union_B
Technion_A	Sciences_PO_Campus_de_Reims_B	Cambridge_Union_Society_B	Nanyang_Technological_University_A
Glasgow_University_Union_B	Swing_1	Johns_Hopkins_University_AL	University_of_Otago_A
Universitas_Gadjah_Mada_C	Stanford_University_A	TCD_Hist_E	Technion_B
Delhi_Technological_University_AC	TCD_Hist_B	Hebrew_University_of_Jerusalem_A	Reichman_University_A
UT_MARA_E	The_University_of_Hong_Kong_A	Hebrew_University_of_Jerusalem_T&amp;Y	Split_debating_union_B
Akenten_Appiah_Menka_University_of_Skills_Training_and_Entrepreneurial_Development_A	Beijing_Foreign_Studies_University_JE	KNUST_SB	Beijing_Foreign_Studies_University_BY
Diplomatic_Academy_of_Vietnam_C	University_of_Ghana_B	National_Taiwan_University_A	University_of_Technology,_Jamaica_B
Princeton_University_C	University_of_Sydney_B	Oxford_B	Princeton_University_B
Qatar_University_B	UT_MARA_A	Mindanao_State_University_-_General_Santos_City_Campus_JK	Singapore_Management_University_EA
Universitas_Negeri_Yogyakarta_A	Universidade_Federal_do_Rio_Grande_do_Sul_-_UFRGS_A	Qatar_University_A	University_of_Energy_and_Natural_Resources_B
Diponegoro_University_A	University_of_Zagreb_E	Taylor\u2019s_University_A	International_Islamic_University_Malaysia_1
IBA_DU_A	Fudan_University_2	Oxford_D	University_of_Aberdeen_BF
New_York_University_Abu_Dhabi_A	KNUST_B	London_School_of_Economics_and_Political_Science_D	Monash_University_D
Oxford_E	University_for_Development_Studies_A	the_Chinese_University_of_Hong_Kong,_Shenzhen_DA	Imperial_College_London_D
Cornell_University_A	Glasgow_University_Union_A	University_of_the_Philippines_Diliman_b	McGill_Debating_Union_A
Split_debating_union_A	University_of_S\u00e3o_Paulo_B	University_of_Nottingham_Debating_Union_A	Sunway_University_CE
University_of_Energy_and_Natural_Resources_A	University_of_Malaya_2	Johns_Hopkins_University_AW	Nanjing_university_XZ
Harvard_College_HM	Berlin_Debating_Union_A	University_of_Zagreb_A	Princeton_University_D
Harvard_College_KL	National_Law_University_Delhi_A	King\u2019s_College_London_B	Trivium_A
