team	points
University_of_Sofia_A	14
Tel_Aviv_University_A	15
Ateneo_de_Manila_University_A	18
University_of_Sydney_D	16
Trinity_College_Dublin_University_Philosophical_Society_A	13
London_School_of_Economics_A	13
University_of_Sydney_B	14
Harvard_College_A	14
University_of_New_South_Wales_A	13
University_of_Bucharest_A	12
Stanford_University_A	14
McGill_Debating_Union_A	14
Princeton_University_B	13
Princeton_University_C	14
Yale_University_A	12
University_of_National_and_World_Economy_A	12
Edinburgh_University_Debates_Union_A	13
McGill_Debating_Union_B	12
London_School_of_Economics_B	15
University_of_Sydney_A	14
University_of_Zagreb_A	12
Hebrew_University_of_Jerusalem,_Israel_A	12
The_Oxford_Union_B	11
The_University_of_Melbourne_A	12
University_of_St_Andrews_A	10
University_of_Sydney_C	12
Ateneo_de_Manila_University_B	10
McGill_Debating_Union_C	11
Queen&#x27;s_Debating_Union_A	11
University_of_Queensland_A	10
The_Oxford_Union_A	13
National_University_of_Singapore_B	9
University_of_Alberta_A	11
Australian_National_University_A	11
National_University_of_Singapore_A	11
Hart_House_A	12
Pontificia_Universidad_Catu00f3lica_del_Peru00fa_A	14
Hobart_&amp;_William_Smith_A	13
University_of_the_Philippines_Diliman_A	13
University_of_Sydney_F	9
Bates_College_A	11
University_of_Sofia_B	11
University_of_Tokyo_A	10
Harvard_College_C	9
University_of_Chicago_B	11
Tel_Aviv_University_B	11
Cornell_University_A	12
Sciences_Po_Reims_B	11
Brown_University_A	9
University_of_New_South_Wales_B	14
Macquarie_University_A	12
Yale_University_B	14
University_of_Auckland_A	10
Edinburgh_University_Debates_Union_C	12
University_of_Zagreb_C	13
The_Oxford_Union_C	13
Duke_University_B	11
Debattierklub_Wien_A	10
Harvard_College_B	10
Cornell_University_B	10
The_University_of_Melbourne_C	9
University_College_Dublin_Literary_and_Historical_Society_A	10
University_of_Tokyo_B	10
Cambridge_Union_Society_C	12
Independent_A	8
Williams_College_A	11
Yale_-_NUS_A	11
Nanyang_Technological_University_A	11
Kwame_Nkrumah_University_of_Science_and_Technology_A	9
Kwame_Nkrumah_University_of_Science_and_Technology_B	8
Monash_University_B	9
IT_Bandung_A	11
Cambridge_Union_Society_A	12
Glasgow_University_Union_B	12
University_of_Western_Australia_A	12
University_of_Chicago_A	10
University_of_New_South_Wales_C	11
Adelaide_University_A	12
Stanford_University_C	11
Harvard_College_E	13
Cambridge_Union_Society_B	11
University_of_Sydney_E	11
The_Oxford_Union_D	13
Princeton_University_A	12
University_of_California,_Los_Angeles_A	11
University_of_Technology_Sydney_A	11
University_of_Ghana_A	10
University_of_Otago_A	10
Bina_Nusantara_A	9
University_of_Zagreb_E	11
Debate_ITAM_A	11
Stanford_University_F	8
Nanyang_Technological_University_B	10
Symbiosis_Law_School,_Pune_A	10
Universiti_Teknologi_MARA_A	9
Cornell_University_C	8
University_of_Otago_B	9
International_Islamic_University_Malaysia_B	8
University_of_Zagreb_B	12
Kingu2019s_College_London_A	12
Stanford_University_B	11
Hart_House_C	11
Technion_A	12
Stanford_University_E	9
University_of_Malaya_A	10
Sunway_University_A	8
University_of_Pennsylvania_A	10
Princeton_University_D	10
ETH_Zurich/University_of_Zurich_B	8
Glasgow_University_Union_A	11
Yale_University_C	9
Yale_University_D	10
Queen&#x27;s_Debating_Union_B	9
University_of_Auckland_C	8
Copenhagen_Debating_Society_A	10
De_La_Salle_University_B	11
Imperial_College_London_B	8
University_of_Western_Ontario_Debate_Society_A	9
Stanford_University_G	8
Bates_College_B	8
University_College_London_C	6
College_Historical_Society,_Trinity_College_Dublin_A	10
University_of_Chicago_D	10
International_Islamic_University_Malaysia_A	7
Australian_National_University_B	8
Sociedad_de_Debates_de_la_Universidad_Complutense_de_Madrid_A	8
Universidad_del_Rosario_A	9
University_of_New_South_Wales_D	7
Trinity_College_Dublin_University_Philosophical_Society_B	9
Monash_University_C	10
Harvard_College_D	10
National_University_of_Singapore_C	9
University_of_Chicago_C	10
Carleton_University_A	9
University_of_Athens_A	10
Sciences_Po_Reims_A	9
Duke_University_A	10
Vanderbilt_University_C	8
Debattierklub_Wien_B	9
University_of_Western_Ontario_Debate_Society_C	10
Victoria_University_of_Wellington_A	9
Cambridge_Union_Society_D	9
Swarthmore_College_A	8
Universidad_de_Chile_A	8
Atma_Jaya_Catholic_University_of_Indonesia_A	7
Bangladesh_University_of_Engineering_and_Technology_C	10
London_School_of_Economics_D	9
Nanyang_Technological_University_C	9
Hart_House_B	10
Middlebury_Debate_society_A	7
University_of_Waterloo_B	9
Vanderbilt_University_D	7
Vanderbilt_University_A	7
Leiden_Debating_Union_A	6
Chulalongkorn_University_A	9
Singapore_Management_University_A	7
University_of_Tokyo_D	7
Korea_University_Debate_Club_A	5
McGill_Debating_Union_D	11
Reichman_University_A	10
Edinburgh_University_Debates_Union_B	9
University_of_Zagreb_D	11
Monash_University_D	8
Monash_University_A	8
Bangladesh_University_of_Engineering_and_Technology_A	8
University_of_Auckland_B	8
Brown_University_B	8
University_of_Western_Ontario_Debate_Society_B	8
Imperial_College_London_A	9
United_States_Air_Force_Academy_A	6
University_of_Hong_Kong_D	7
Universiti_Teknologi_MARA_B	9
De_La_Salle_University_C	7
Stanford_University_D	7
University_of_Ottawa_A	5
Universitas_Indonesia_A	8
National_Taiwan_University_A	7
University_of_Alberta_B	7
Nazarbayev_University_A	8
Yonsei_University_A	6
Split_Debating_Union_A	8
University_of_Coimbra_A	5
Tel_Aviv_University_D	5
University_of_California_Berkeley_B	6
Ateneo_de_Manila_University_C	9
Universiti_Teknologi_MARA_C	9
Trinity_College_Dublin_University_Philosophical_Society_C	9
ASDV_Bonaparte_A	7
De_La_Salle_University_A	10
Comillas_A	7
University_of_Chicago_E	10
Gadjah_Mada_University_A	9
University_College_London_D	9
University_of_Queensland_B	8
Durham_Debate_A	7
Lewis_&amp;_Clark_College_A	7
Carleton_University_B	6
Berlin_Debating_Union_A	8
Vanderbilt_University_B	8
Davidson_College_A	6
Universitas_Airlangga_A	6
University_of_Hong_Kong_A	7
ETH_Zurich/University_of_Zurich_A	5
Colgate_University_C	8
University_of_Vermont_C	8
University_of_Waterloo_A	7
Wheaton_College_B	6
Singapore_Management_University_B	7
Tel_Aviv_University_C	8
University_College_London_B	7
London_School_of_Economics_C	9
Diponegoro_University_A	6
Bangladesh_University_of_Engineering_and_Technology_B	6
College_Historical_Society,_Trinity_College_Dublin_C	6
Strathmore_Debate_Society_A	7
University_of_Vermont_A	7
Carleton_University_C	8
University_of_Wollongong_A	7
Kansas_State_University_A	6
Wheaton_College_A	8
Reichman_University_B	6
University_of_California_Berkeley_A	6
Middlebury_Debate_society_B	5
Nottingham_Trent_University_C	7
University_of_Khartoum_A	2
University_of_Bucharest_B	6
The_Open_University_of_Israel_A	8
Ben-Gurion_University_of_the_Negev_A	7
Swarthmore_College_B	5
Swarthmore_College_C	7
Colgate_University_B	3
Fordham_University_B	6
University_of_Hong_Kong_B	6
Bangladesh_University_of_Engineering_and_Technology_D	8
Nottingham_Trent_University_B	5
University_of_Vermont_B	4
University_of_Aberdeen_A	7
University_of_Otago_C	6
College_Historical_Society,_Trinity_College_Dublin_B	6
